Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Green,05-Dec,8,0,1,BTB/POZ domain-containing protein NPY3,protein-coding,Plant
Green,13-20,13,0,8,mRNA-decapping enzyme-like protein,protein-coding,Plant
Yellow,21-28,21,1,1,uncharacterized LOC102607984,protein-coding,Plant
Yellow,13-20,14,1,1,ammonium transporter 3 member 2-like,protein-coding,Plant
Yellow,13-20,18,1,9,ABC transporter B family member 3-like,protein-coding,Plant
Green,05-Dec,9,0,2,pentatricopeptide repeat-containing protein At5g46100,protein-coding,Plant
Green,05-Dec,11,1,9,protein DETOXIFICATION 55,protein-coding,Plant
Green,05-Dec,6,1,2,probable serine/threonine-protein kinase abkC,protein-coding,Plant
Yellow,05-Dec,11,0,9,receptor kinase-like protein Xa21,protein-coding,Plant
Green,13-20,17,0,9,OTU domain-containing protein At3g57810,protein-coding,Plant
Yellow,05-Dec,5,1,9,uncharacterized LOC102607993,ncRNA,Plant
Red,13-20,19,1,2,"probable beta-1,3-galactosyltransferase 2",protein-coding,Plant
Green,13-20,16,1,2,triacylglycerol lipase 2-like,protein-coding,Plant
Green,21-28,24,0,Un,"digalactosyldiacylglycerol synthase 2, chloroplastic",protein-coding,Plant
Yellow,13-20,19,1,Un,hypothetical protein,protein-coding,Plant
Green,21-28,24,1,2,WAT1-related protein At5g40240-like,protein-coding,Plant
Green,21-28,23,1,2,hydroxyproline O-arabinosyltransferase 3-like,protein-coding,Plant
Green,21-28,28,0,Un,uncharacterized LOC102608001,protein-coding,Plant
Red,05-Dec,6,0,2,cinnamoyl-CoA reductase 1-like,protein-coding,Plant
Green,05-Dec,11,1,3,bifunctional pinoresinol-lariciresinol reductase 2,protein-coding,Plant
Yellow,05-Dec,10,0,Un,TMV resistance protein N-like,protein-coding,Plant
Green,05-Dec,11,0,3,urea-proton symporter DUR3,protein-coding,Plant
Yellow,13-20,13,1,Un,F-box protein At5g49610-like,protein-coding,Plant
Green,13-20,20,0,3,probable rhamnogalacturonate lyase B,protein-coding,Plant
Green,13-20,18,1,3,GEM-like protein 1,protein-coding,Plant
Green,13-20,14,1,Un,7-deoxyloganetic acid glucosyltransferase-like,pseudo,Plant
Yellow,13-20,18,0,Un,LRR receptor kinase SERK2-like,protein-coding,Plant
Green,05-Dec,11,0,Un,putative disease resistance RPP13-like protein 1,protein-coding,Plant
Yellow,21-28,27,0,Un,protein OPI10 homolog,protein-coding,Plant
Green,13-20,17,0,3,uncharacterized LOC102608014,protein-coding,Plant
Green,05-Dec,9,1,Un,G-type lectin S-receptor-like serine/threonine-protein kinase RLK1,pseudo,Plant
Yellow,21-28,22,1,Un,auxin-responsive protein SAUR50-like,protein-coding,Plant
Green,13-20,13,1,3,hypothetical protein,protein-coding,Plant
Yellow,13-20,15,1,Un,uncharacterized LOC102608019,ncRNA,Plant
Yellow,13-20,18,0,4,tetraspanin-7-like,protein-coding,Plant
Green,13-20,19,1,Un,uncharacterized LOC102608021,protein-coding,Plant
Yellow,13-20,15,0,4,NEDD8 ultimate buster 1,protein-coding,Plant
Green,21-28,26,0,Un,receptor-like protein 14,protein-coding,Plant
Yellow,13-20,16,0,4,17.1 kDa class II heat shock protein-like,protein-coding,Plant
Red,13-20,13,0,Un,"adenylate kinase 5, chloroplastic-like",protein-coding,Plant
Green,13-20,20,0,4,uncharacterized LOC102608026,protein-coding,Plant
Green,13-20,14,1,4,"ubiquinone biosynthesis protein COQ9-B, mitochondrial",protein-coding,Plant
Green,05-Dec,12,0,Un,alcohol dehydrogenase-like 1,protein-coding,Plant
Green,05-Dec,7,1,4,uncharacterized LOC102608029,ncRNA,Plant
Green,13-20,15,1,4,syntaxin-51,protein-coding,Plant
Green,13-20,19,1,4,calcium-dependent protein kinase 33-like,protein-coding,Plant
Yellow,21-28,21,1,4,myb family transcription factor EFM,protein-coding,Plant
Green,21-28,26,1,4,protein NDL2,protein-coding,Plant
Green,13-20,16,0,5,"nucleoside diphosphate kinase III, chloroplastic/mitochondrial-like",protein-coding,Plant
Green,21-28,21,1,5,kinesin-like protein KIN-14J,protein-coding,Plant
Green,13-20,13,0,5,homeobox-leucine zipper protein HAT5,protein-coding,Plant
Yellow,13-20,16,0,5,monooxygenase 2,protein-coding,Plant
Red,13-20,17,1,5,calcium-dependent protein kinase 26,protein-coding,Plant
Green,13-20,15,1,5,cytochrome P450 71A1-like,pseudo,Plant
Yellow,13-20,13,1,5,ABC transporter B family member 25,protein-coding,Plant
Green,13-20,13,1,5,kinesin-like protein NACK1,protein-coding,Plant
Green,05-Dec,10,0,5,uncharacterized LOC102608043,protein-coding,Plant
Green,13-20,16,1,5,60S ribosomal protein L18a,protein-coding,Plant
Green,05-Dec,5,1,5,uncharacterized protein ycf45,protein-coding,Plant
Green,13-20,18,1,5,putative disease resistance RPP13-like protein 1,protein-coding,Plant
Yellow,13-20,15,0,5,serine/threonine-protein phosphatase 4 regulatory subunit 2,protein-coding,Plant
Green,13-20,19,1,5,tyrosine-specific transport protein,protein-coding,Plant
Green,13-20,13,0,5,protein MARD1-like,protein-coding,Plant
Red,13-20,17,0,5,auxin-binding protein T85,protein-coding,Plant
Yellow,21-28,25,1,6,uncharacterized LOC102608051,protein-coding,Plant
Green,13-20,18,0,6,serine/threonine-protein kinase Nek5,protein-coding,Plant
Green,13-20,14,1,6,tubulin beta-5 chain,protein-coding,Plant
Green,05-Dec,12,0,6,U-box domain-containing protein 4,protein-coding,Plant
Yellow,05-Dec,5,1,6,AAA-ATPase At3g28580-like,protein-coding,Plant
Green,21-28,28,0,7,NAC transcription factor 29,protein-coding,Plant
Green,13-20,16,1,7,probable LRR receptor-like serine/threonine-protein kinase At1g14390,protein-coding,Plant
Green,05-Dec,10,1,7,myb family transcription factor PHL5-like,protein-coding,Plant
Green,13-20,16,1,7,"aldehyde dehydrogenase family 2 member B7, mitochondrial",protein-coding,Plant
Green,05-Dec,12,1,7,"inorganic phosphate transporter 2-1, chloroplastic",protein-coding,Plant
Green,13-20,15,1,7,uncharacterized protein YpgQ,protein-coding,Plant
Green,21-28,26,1,7,cytochrome b561 and DOMON domain-containing protein At3g25290,protein-coding,Plant
Red,21-28,26,1,7,putative phospholipid:diacylglycerol acyltransferase 2,protein-coding,Plant
Green,05-Dec,5,1,7,lysosomal Pro-X carboxypeptidase-like,pseudo,Plant
Yellow,21-28,21,1,1,probable serine/threonine-protein kinase At1g54610,protein-coding,Plant
Yellow,13-20,18,0,7,probable protein phosphatase 2C 38,protein-coding,Plant
Green,21-28,25,0,8,lysine histidine transporter-like 8,protein-coding,Plant
Red,05-Dec,11,0,8,hypothetical protein,protein-coding,Plant
Green,13-20,19,1,8,guanine nucleotide-binding protein subunit beta-2,protein-coding,Plant
Green,21-28,25,0,1,protein SAWADEE HOMEODOMAIN HOMOLOG 1,protein-coding,Plant
Green,13-20,15,0,1,leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1,protein-coding,Plant
Green,13-20,16,0,8,serine/threonine-protein kinase GRIK2,protein-coding,Plant
Green,05-Dec,6,1,8,formin-like protein 13,protein-coding,Plant
Green,13-20,19,0,1,probable serine protease EDA2,protein-coding,Plant
Yellow,05-Dec,6,0,8,probable serine/threonine-protein kinase PBL18,protein-coding,Plant
Green,13-20,14,1,8,calmodulin-binding receptor-like cytoplasmic kinase 2,protein-coding,Plant
Yellow,05-Dec,8,0,9,pentatricopeptide repeat-containing protein At3g48810,protein-coding,Plant
Green,05-Dec,7,0,2,SAP30-binding protein,protein-coding,Plant
Green,13-20,20,0,9,protein FAR1-RELATED SEQUENCE 7,protein-coding,Plant
Green,13-20,13,1,9,basic 7S globulin-like,protein-coding,Plant
Green,05-Dec,8,0,9,late embryogenesis abundant protein D-34-like,protein-coding,Plant
Yellow,13-20,13,1,2,nuclear transcription factor Y subunit A-7,protein-coding,Plant
Yellow,13-20,13,1,9,eisosome protein SEG2,protein-coding,Plant
Green,05-Dec,6,1,2,"DNA-directed RNA polymerases II, IV and V subunit 12",protein-coding,Plant
Green,13-20,20,1,2,"coumarin 8-geranyltransferase 1, chloroplastic-like",protein-coding,Plant
Green,13-20,19,1,2,uncharacterized LOC102608088,ncRNA,Plant
Green,13-20,18,0,Un,pre-mRNA-splicing factor SPF27 homolog,protein-coding,Plant
Green,05-Dec,9,0,2,zinc finger CCCH domain-containing protein 18,protein-coding,Plant
Green,13-20,18,0,Un,growth-regulating factor 9,protein-coding,Plant
Green,13-20,14,1,2,transcription factor MYB102,protein-coding,Plant
Yellow,13-20,20,1,2,uncharacterized LOC102608093,protein-coding,Plant
Green,05-Dec,8,0,2,uncharacterized LOC102608094,ncRNA,Plant
Green,13-20,13,0,Un,uncharacterized LOC102608095,protein-coding,Plant
Green,13-20,16,0,Un,2Fe-2S ferredoxin,protein-coding,Plant
Green,13-20,17,1,Un,wall-associated receptor kinase-like 1,protein-coding,Plant
Yellow,05-Dec,9,1,3,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,protein-coding,Plant
Green,05-Dec,5,0,Un,"riboflavin biosynthesis protein PYRD, chloroplastic-like",protein-coding,Plant
Green,05-Dec,11,1,Un,poly(ADP-ribose) glycohydrolase 1,protein-coding,Plant
Green,13-20,19,1,Un,uncharacterized LOC102608106,ncRNA,Plant
Yellow,13-20,19,1,3,uncharacterized LOC102608107,protein-coding,Plant
Green,05-Dec,6,1,3,autophagy-related protein 18a-like,protein-coding,Plant
Green,13-20,19,0,4,"pentatricopeptide repeat-containing protein At1g79490, mitochondrial",protein-coding,Plant
Green,21-28,22,0,3,F-box protein 7,protein-coding,Plant
Yellow,13-20,20,0,Un,squamous cell carcinoma antigen recognized by T-cells 3-like,protein-coding,Plant
Green,21-28,24,1,3,dehydrogenase/reductase SDR family member 12,protein-coding,Plant
Green,13-20,19,1,Un,uncharacterized LOC102608114,ncRNA,Plant
Green,05-Dec,5,1,3,thaumatin-like protein 1,protein-coding,Plant
Green,13-20,18,0,4,hypothetical protein,protein-coding,Plant
Green,05-Dec,9,0,Un,uncharacterized LOC102608120,protein-coding,Plant
Green,05-Dec,11,1,4,DNA ligase 4,protein-coding,Plant
Yellow,13-20,18,1,4,disease resistance protein RPM1-like,protein-coding,Plant
Yellow,13-20,20,1,4,protein DETOXIFICATION 52,protein-coding,Plant
Green,13-20,13,1,4,zinc finger CCCH domain-containing protein 5-like,protein-coding,Plant
Green,13-20,20,0,5,plant UBX domain-containing protein 10-like,protein-coding,Plant
Yellow,21-28,21,0,5,protein-L-isoaspartate O-methyltransferase 1,protein-coding,Plant
Green,13-20,20,0,5,elongation factor 1-delta 1,protein-coding,Plant
Green,13-20,14,0,5,NAC domain-containing protein 100,protein-coding,Plant
Green,13-20,14,1,5,uncharacterized LOC102608133,protein-coding,Plant
Yellow,05-Dec,5,0,5,peptidyl-prolyl cis-trans isomerase FKBP53-like,protein-coding,Plant
Green,13-20,18,0,5,endochitinase EP3-like,protein-coding,Plant
Yellow,13-20,16,1,5,LRR receptor-like serine/threonine-protein kinase FLS2,protein-coding,Plant
Green,05-Dec,11,1,5,FH protein interacting protein FIP2,protein-coding,Plant
Green,13-20,14,1,5,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",protein-coding,Plant
Green,13-20,17,1,5,nodulation protein H,protein-coding,Plant
Yellow,13-20,17,0,6,luc7-like protein,protein-coding,Plant
Green,13-20,14,0,6,WAT1-related protein At1g09380,protein-coding,Plant
Green,05-Dec,8,1,6,ataxin-3 homolog,protein-coding,Plant
Green,13-20,16,1,6,7-deoxyloganetic acid glucosyltransferase-like,protein-coding,Plant
Yellow,13-20,18,1,6,"probable 39S ribosomal protein L22, mitochondrial",protein-coding,Plant
Yellow,05-Dec,9,0,6,ABSCISIC ACID-INSENSITIVE 5-like protein 2,protein-coding,Plant
Green,05-Dec,6,0,6,ninja-family protein AFP3-like,protein-coding,Plant
Green,21-28,25,0,7,"30S ribosomal protein 2, chloroplastic",protein-coding,Plant
Green,13-20,17,1,7,uncharacterized protein At2g33490,protein-coding,Plant
Yellow,13-20,14,0,7,uncharacterized LOC102608149,protein-coding,Plant
Green,05-Dec,7,0,7,"chlorophyll a-b binding protein, chloroplastic",protein-coding,Plant
Green,13-20,17,0,7,"bifunctional TH2 protein, mitochondrial",protein-coding,Plant
Green,13-20,20,1,7,synaptotagmin-3,protein-coding,Plant
Red,05-Dec,9,1,7,"serine protease SPPA, chloroplastic",protein-coding,Plant
Yellow,21-28,22,0,7,uncharacterized LOC102608154,ncRNA,Plant
Yellow,13-20,19,0,1,PAP-specific phosphatase HAL2-like,protein-coding,Plant
Green,21-28,25,1,7,WRKY transcription factor 55,protein-coding,Plant
Yellow,13-20,15,1,7,nuclear pore complex protein NUP88,protein-coding,Plant
Green,05-Dec,12,0,7,probable mannose-1-phosphate guanylyltransferase 1,protein-coding,Plant
Yellow,13-20,18,1,1,5' exonuclease Apollo,protein-coding,Plant
Green,21-28,26,1,1,NAC domain-containing protein 4-like,protein-coding,Plant
Green,13-20,15,0,1,AAA-ATPase At3g50940,protein-coding,Plant
Green,13-20,17,1,1,probable receptor-like protein kinase At2g23200,protein-coding,Plant
Green,21-28,23,1,1,hypothetical protein,protein-coding,Plant
Yellow,05-Dec,12,0,8,PRKR-interacting protein 1,protein-coding,Plant
Green,13-20,14,1,1,probable 2-oxoglutarate-dependent dioxygenase AOP1,protein-coding,Plant
Yellow,21-28,23,0,1,uncharacterized LOC102608167,ncRNA,Plant
Green,21-28,21,0,8,arginine decarboxylase-like,protein-coding,Plant
Green,05-Dec,12,0,8,"phosphoenolpyruvate carboxylase, housekeeping isozyme",protein-coding,Plant
Yellow,21-28,25,1,8,metacaspase-3-like,pseudo,Plant
Green,13-20,13,1,1,IMPACT family member in pol 5'region,protein-coding,Plant
Green,21-28,26,1,1,protein MIZU-KUSSEI 1,protein-coding,Plant
Green,05-Dec,6,0,1,peroxidase 10-like,protein-coding,Plant
Red,13-20,20,0,1,transcription factor HEC2,protein-coding,Plant
Green,05-Dec,11,0,1,putative glucose-6-phosphate 1-epimerase,protein-coding,Plant
Green,13-20,13,0,8,serine/arginine repetitive matrix protein 1,protein-coding,Plant
Yellow,13-20,14,1,2,SEC14 cytosolic factor,protein-coding,Plant
Green,13-20,16,1,8,vicilin-like seed storage protein At2g28490,protein-coding,Plant
Green,21-28,26,1,2,serine/threonine-protein kinase HT1,protein-coding,Plant
Yellow,05-Dec,9,1,2,hypothetical protein,protein-coding,Plant
Green,13-20,20,0,9,probable receptor-like protein kinase At5g38990,protein-coding,Plant
Green,13-20,19,1,9,uncharacterized LOC102608184,protein-coding,Plant
Green,21-28,23,0,2,subtilisin-like protease SBT2.2,protein-coding,Plant
Green,21-28,22,0,2,light-mediated development protein DET1,protein-coding,Plant
Green,05-Dec,7,1,2,"glycerophosphodiester phosphodiesterase GDPD1, chloroplastic-like",protein-coding,Plant
Green,05-Dec,12,0,9,peroxisomal membrane protein 11B,protein-coding,Plant
Green,13-20,20,0,9,uncharacterized LOC102608189,protein-coding,Plant
Green,05-Dec,10,0,2,heavy metal-associated isoprenylated plant protein 28,protein-coding,Plant
Green,05-Dec,10,1,9,transmembrane ascorbate ferrireductase 1,protein-coding,Plant
Green,13-20,18,0,9,LOB domain-containing protein 23-like,protein-coding,Plant
Green,21-28,21,1,2,aspartate-semialdehyde dehydrogenase,protein-coding,Plant
Yellow,21-28,26,1,2,presenilin-A-like,protein-coding,Plant
Green,13-20,17,0,Un,uncharacterized LOC102608196,protein-coding,Plant
Green,13-20,19,0,Un,uncharacterized LOC102608197,protein-coding,Plant
Green,13-20,15,0,2,putative E3 ubiquitin-protein ligase RING1a,protein-coding,Plant
Yellow,21-28,28,1,2,AUGMIN subunit 6,protein-coding,Plant
Green,13-20,20,0,Un,uncharacterized LOC102608200,ncRNA,Plant
Yellow,13-20,17,1,2,DEAD-box ATP-dependent RNA helicase 46,protein-coding,Plant
Green,13-20,13,1,Un,UDP-glucose flavonoid 3-O-glucosyltransferase 7-like,protein-coding,Plant
Yellow,13-20,16,1,2,pseudouridine-5'-phosphate glycosidase,protein-coding,Plant
Yellow,05-Dec,7,1,3,uncharacterized protein At4g15970,protein-coding,Plant
Green,21-28,26,1,3,zinc finger CCCH domain-containing protein 5-like,pseudo,Plant
Green,13-20,19,1,3,uncharacterized LOC102608209,ncRNA,Plant
Yellow,05-Dec,5,1,Un,transcription factor APG,protein-coding,Plant
Yellow,21-28,23,1,3,photosystem II D2 protein-like,protein-coding,Plant
Red,05-Dec,12,0,3,DNA polymerase epsilon catalytic subunit A-like,protein-coding,Plant
Green,13-20,18,1,Un,UPF0481 protein At3g47200-like,pseudo,Plant
Yellow,13-20,13,1,3,"bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic-like",protein-coding,Plant
Yellow,13-20,16,0,Un,"30S ribosomal protein S31, chloroplastic-like",pseudo,Plant
Green,05-Dec,12,1,Un,expansin-A9-like,protein-coding,Plant
Green,13-20,13,0,Un,uncharacterized LOC102608218,ncRNA,Plant
Green,05-Dec,11,1,3,histone acetyltransferase of the MYST family 1,protein-coding,Plant
Green,13-20,15,1,Un,agamous-like MADS-box protein AGL80,protein-coding,Plant
Yellow,13-20,20,1,3,uncharacterized LOC102608221,protein-coding,Plant
Yellow,21-28,26,0,Un,zinc finger transcription factor YY1-like,protein-coding,Plant
Yellow,21-28,27,1,3,transcription initiation factor IIF subunit beta,protein-coding,Plant
Green,05-Dec,9,0,Un,protein MAINTENANCE OF PSII UNDER HIGH LIGHT 1,protein-coding,Plant
Yellow,05-Dec,10,1,Un,probable disease resistance protein At1g12290,pseudo,Plant
Yellow,13-20,17,0,4,26S proteasome non-ATPase regulatory subunit 9,protein-coding,Plant
Green,13-20,17,0,7,serine carboxypeptidase-like 45,protein-coding,Plant
Green,13-20,16,1,4,fasciclin-like arabinogalactan protein 1,protein-coding,Plant
Green,05-Dec,8,0,Un,polyubiquitin,protein-coding,Plant
Green,13-20,16,1,4,probable folate-biopterin transporter 4,protein-coding,Plant
Yellow,13-20,13,0,4,"50S ribosomal protein L24, chloroplastic",protein-coding,Plant
Green,13-20,20,1,4,uncharacterized LOC102608233,protein-coding,Plant
Green,13-20,15,1,4,hypothetical protein,protein-coding,Plant
Green,05-Dec,9,1,4,FBD-associated F-box protein At5g56380-like,protein-coding,Plant
Green,05-Dec,6,1,4,CBL-interacting serine/threonine-protein kinase 24,protein-coding,Plant
Green,21-28,21,1,5,homeobox-leucine zipper protein ATHB-12-like,protein-coding,Plant
Green,05-Dec,8,1,5,uncharacterized LOC102608238,protein-coding,Plant
Green,21-28,25,1,5,uncharacterized LOC102608239,ncRNA,Plant
Red,13-20,19,0,5,ABC transporter G family member 20-like,protein-coding,Plant
Green,13-20,15,0,5,extensin-2-like,pseudo,Plant
Green,05-Dec,10,0,5,uncharacterized LOC102608243,protein-coding,Plant
Green,13-20,19,0,5,uncharacterized LOC102608244,protein-coding,Plant
Green,13-20,18,0,5,hypothetical protein,protein-coding,Plant
Green,13-20,20,1,5,protein DMR6-LIKE OXYGENASE 1-like,protein-coding,Plant
Green,13-20,17,1,5,xanthohumol 4-O-methyltransferase-like,protein-coding,Plant
Yellow,05-Dec,7,0,6,ATP-citrate synthase alpha chain protein 2,protein-coding,Plant
Green,13-20,15,1,6,"pentatricopeptide repeat-containing protein At3g53700, chloroplastic",protein-coding,Plant
Yellow,13-20,15,1,6,protein PLANT CADMIUM RESISTANCE 10,protein-coding,Plant
Green,13-20,18,0,7,uncharacterized LOC102608251,protein-coding,Plant
Green,13-20,13,0,7,ankyrin repeat-containing protein BDA1-like,pseudo,Plant
Green,13-20,18,0,7,poly(A) polymerase I-like,protein-coding,Plant
Green,13-20,19,0,1,zinc finger protein STOP1 homolog,protein-coding,Plant
Red,21-28,21,0,1,DNA replication ATP-dependent helicase/nuclease DNA2,protein-coding,Plant
Green,05-Dec,7,0,7,biotin carboxyl carrier protein of acetyl-CoA carboxylase,protein-coding,Plant
Green,05-Dec,7,0,1,NAD-dependent protein deacylase SRT2,protein-coding,Plant
Yellow,21-28,27,1,8,"protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic-like",protein-coding,Plant
Green,13-20,19,1,8,zinc finger protein-like 1 homolog,protein-coding,Plant
Green,13-20,14,1,8,probable carboxylesterase 12,protein-coding,Plant
Green,05-Dec,9,0,8,uncharacterized LOC102608262,pseudo,Plant
Green,13-20,19,1,8,probable calcium-binding protein CML48,protein-coding,Plant
